"sku","special_from_date"
"162122","19/04/26"
"160981","19/04/26"
"112468","19/04/26"
"149752","19/04/26"
"149908","19/04/26"
"142785","19/04/26"
"142787","19/04/26"
"119287","19/04/26"
"123043","19/04/26"
"119716","19/04/26"
"119766","19/04/26"
"119874","19/04/26"
"119984","19/04/26"
"120810","19/04/26"
"120858","19/04/26"
"176922","19/04/26"
"116464","19/04/26"
"120943","19/04/26"
"120952","19/04/26"
"159993","19/04/26"
"121399","19/04/26"
"121966","19/04/26"
"122354","19/04/26"
"426476","19/04/26"
"383313","19/04/26"
"136093","19/04/26"
"136094","19/04/26"
"142808","19/04/26"
"124373","19/04/26"
"116074","19/04/26"
"175959","19/04/26"
"176636","19/04/26"
"176711","19/04/26"
"250808","19/04/26"
"175557","19/04/26"
"161810","19/04/26"
"304020","19/04/26"
"304022","19/04/26"
"177371","19/04/26"
"119770","19/04/26"
"189383","19/04/26"
"191439","19/04/26"
"177144","19/04/26"
"113918","19/04/26"
"113238","19/04/26"
"113400","19/04/26"
"255912","19/04/26"
"177132","19/04/26"
"116171","19/04/26"
"483281","19/04/26"
"117047","19/04/26"
"117059","19/04/26"
"117069","19/04/26"
"117086","19/04/26"
"514363","19/04/26"
"117199","19/04/26"
"112469","19/04/26"
"112517","19/04/26"
"421568","19/04/26"
"494284","19/04/26"
"277633","19/04/26"
"278487","19/04/26"
"278492","19/04/26"
"277666","19/04/26"
"164829","19/04/26"
"162788","19/04/26"
"278801","19/04/26"
"305385","19/04/26"
"417347","19/04/26"
"161095","19/04/26"
"160926","19/04/26"
"160635","19/04/26"
"161653","19/04/26"
"343613","19/04/26"
"346262","19/04/26"
"346165","19/04/26"
"379239","19/04/26"
"475393","19/04/26"
"150445","19/04/26"
"344136","19/04/26"
"388462","19/04/26"
"388465","19/04/26"
"388472","19/04/26"
"388490","19/04/26"
"410722","19/04/26"
"340984","19/04/26"
"311970","19/04/26"
"277615","19/04/26"
"445533","19/04/26"
"419165","19/04/26"
"304451","19/04/26"
"305108","19/04/26"
"280365","19/04/26"
"280389","19/04/26"
"321828","19/04/26"
"372710","19/04/26"
"119060","19/04/26"
"356493","19/04/26"
"423307","19/04/26"
"431782","19/04/26"
"431787","19/04/26"
"123372","19/04/26"
"361414","19/04/26"
"472332","19/04/26"
"472569","19/04/26"
"469524","19/04/26"
"478819","19/04/26"
"469526","19/04/26"
"478393","19/04/26"
"278478","19/04/26"
"514415","19/04/26"
"514420","19/04/26"
"492408","19/04/26"
"556011","19/04/26"
"556044","19/04/26"
"489227","19/04/26"
"155106","19/04/26"
"489324","19/04/26"
"489244","19/04/26"
"489397","19/04/26"
"489349","19/04/26"
"489357","19/04/26"
"487197","19/04/26"
"489284","19/04/26"
"489365","19/04/26"
"489367","19/04/26"
"592164","19/04/26"
"469484","19/04/26"
"475040","19/04/26"
"476237","19/04/26"
"476290","19/04/26"
"476695","19/04/26"
"431748","19/04/26"
"476703","19/04/26"
"476491","19/04/26"
"133437","19/04/26"
"538405","19/04/26"
"527744","19/04/26"
"489516","19/04/26"
"530187","19/04/26"
"526775","19/04/26"
"482362","19/04/26"
"150431","19/04/26"
"150485","19/04/26"
"150660","19/04/26"
"566133","19/04/26"
"577186","19/04/26"
"524715","19/04/26"
"590053","19/04/26"
"428296","19/04/26"
"412619","19/04/26"
"412632","19/04/26"
"412635","19/04/26"
"412654","19/04/26"
"412666","19/04/26"
"412627","19/04/26"
"412633","19/04/26"
"410242","19/04/26"
"412722","19/04/26"
"534635","19/04/26"
"119726","19/04/26"
"534412","19/04/26"
"304369","19/04/26"
"305792","19/04/26"
"131135","19/04/26"
"429849","19/04/26"
"527041","19/04/26"
"131185","19/04/26"
"479286","19/04/26"
"479290","19/04/26"
"249312","19/04/26"
"341933","19/04/26"
"320631","19/04/26"
"320632","19/04/26"
"119581","19/04/26"
"119591","19/04/26"
"119649","19/04/26"
"159384","19/04/26"
"109784","19/04/26"
"289314","19/04/26"
"243096","19/04/26"
"158221","19/04/26"
"537633","19/04/26"
"537634","19/04/26"
"530606","19/04/26"
"559064","19/04/26"
"127687","19/04/26"
"127986","19/04/26"
"127991","19/04/26"
"128001","19/04/26"
"128006","19/04/26"
"158063","19/04/26"
"158171","19/04/26"
"158179","19/04/26"
"158167","19/04/26"
"158173","19/04/26"
"237209","19/04/26"
"236850","19/04/26"
"236851","19/04/26"
"215200","19/04/26"
"243463","19/04/26"
"159329","19/04/26"
"128303","19/04/26"
"203012","19/04/26"
"203011","19/04/26"
"202828","19/04/26"
"202724","19/04/26"
"289310","19/04/26"
"127992","19/04/26"
"127872","19/04/26"
"127864","19/04/26"
"127811","19/04/26"
"127459","19/04/26"
"127453","19/04/26"
"127451","19/04/26"
